# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x100184e0|GetEntityTableEntry|_GetEntityTableEntry|function|66
0x10018530|||function|800
0x10018850|||function|3689
0x100196c0|QueryEntitySum|_QueryEntitySum|function|81
0x10019720|||function|396
0x100198b0|||function|355
0x10019a20|accumulate_typed2|_accumulate_typed2|library|74
0x10019a70|EntityQuerySum|_EntityQuerySum|function|102
0x10019ae0|ResolveParentEntity|_ResolveParentEntity|function|82
0x10019b40|GetEntityType|_GetEntityType|function|62
0x10019b80|WalkEntityChain|_WalkEntityChain|function|83
0x10019be0|entity_accumulate|_entity_accumulate|function|124
0x10019c60|FindEntityByOwner|_FindEntityByOwner|function|98
0x10019cd0|get_msg_field|_get_msg_field|library|48
0x10019d00|compute_size|_compute_size|library|39
0x10019d30|||function|407
0x10019ed0|||function|395
0x1001a060|entity_set_field|_entity_set_field|library|97
0x1001a0d0|random_mod|_random_mod|library|32
0x1001a0f0|RandomFloat01|_RandomFloat01|function|22
0x1001a110|RandomQuadratic|_RandomQuadratic|function|48
0x1001a140|crt_getid_set|_crt_getid_set|library|14
0x1001a150|crt_thread_set|_crt_thread_set|library|12
0x1001a160|Ordinal_3|_Ordinal_3|stub|6
0x1001a166|Ordinal_20|_Ordinal_20|stub|6
0x1001a16c|Ordinal_2|_Ordinal_2|stub|6
0x1001a172|Ordinal_9|_Ordinal_9|stub|6
0x1001a178|Ordinal_8|_Ordinal_8|stub|6
0x1001a17e|Ordinal_21|_Ordinal_21|stub|6
0x1001a184|Ordinal_23|_Ordinal_23|stub|6
0x1001a18a|crt_fflush|_crt_fflush|library|49
0x1001a1bb|crt_fclose_inner|_crt_fclose_inner|library|76
0x1001a207|crt_write_check|_crt_write_check|library|78
0x1001a255|crt_locked_read|_crt_locked_read|library|49
0x1001a286|crt_call_extra|_crt_call_extra|library|19
0x1001a299|crt_stream_output|_crt_stream_output|library|82
0x1001a2eb|crt_triple_call|_crt_triple_call|library|34
0x1001a30d|||function|353
0x1001a46e|crt_locked_call3|_crt_locked_call3|library|44
0x1001a49a|SeekFileHandleUnlocked|_SeekFileHandleUnlocked|function|141
0x1001a527|crt_find_process|_crt_find_process|library|25
0x1001a540|crt_strrchr|_crt_strrchr|library|39
0x1001a567|||function|220
0x1001a643|crt_initterm_caller|_crt_initterm_caller|library|45
0x1001a670|crt_call_x00|_crt_call_x00|library|17
0x1001a681|exit|_exit|library|17
